,Row,Col,Sym,Diag
93,"(0.35620671450633246, 0.3382653147520872)","(0.3180961736700606, 0.31732254156153405)","(0.3419971418728279, 0.32226721316579077)","(0.3717969594740552, 0.36343298701709087)"
94,"(0.43349338447704555, 0.42621360791012153)","(0.31367946632979005, 0.31267133357809096)","(0.4231266013963413, 0.4148181063461688)","(0.43349338447704555, 0.4219693138740151)"
95,"(0.4530369220431517, 0.44670006561838815)","(0.40963433791281467, 0.40763753013841086)","(0.44657976550930145, 0.43803247606625684)","(0.4118227451672344, 0.3939032203360122)"
96,"(0.340729199245121, 0.3348599571409956)","(0.3355170029654493, 0.3343513873469275)","(0.3351105687159861, 0.32898392730560233)","(0.3473650700318157, 0.34635753258999047)"
97,"(0.3850391225391169, 0.38243784024968097)","(0.2874454047638314, 0.2828834620889158)","(0.37948645050877916, 0.377420205339853)","(0.3849764490858265, 0.38413509922977007)"
98,"(0.32632485105567177, 0.31974702154997015)","(0.21362429243523018, 0.2125213911349908)","(0.31695216356895783, 0.3119690287862704)","(0.3393677996533959, 0.3372187160642965)"
99,"(0.34190630782124243, 0.3387878280776805)","(0.32624558308393536, 0.3254585292767306)","(0.33265534754382875, 0.3312689933540385)","(0.31596154726740666, 0.313858199415406)"
100,"(0.44976805547276466, 0.4469603744565527)","(0.26778913406920146, 0.266277307239584)","(0.44193500683409903, 0.4363088654090782)","(0.422934099060124, 0.41588445579777444)"
101,"(0.417974321560706, 0.4129716174278085)","(0.3140956847307862, 0.3133310184528133)","(0.4095118625817391, 0.4025744861768621)","(0.37469129218340014, 0.3730751959888497)"
102,"(0.41714725410567144, 0.41552108970289303)","(0.4187062025131777, 0.4163635084738393)","(0.41127559786935763, 0.40892175631921)","(0.4056910565713867, 0.40018527450089697)"
103,"(0.4573906886053817, 0.4523241217733054)","(0.3671596591279037, 0.3647687483638211)","(0.45392005798906065, 0.446852726628546)","(0.46482971779328985, 0.46287377271127245)"
104,"(0.3186710518225835, 0.3173809371791555)","(0.27182212963308205, 0.27067443925043844)","(0.31338962574787366, 0.3113391296223368)","(0.3180628906508215, 0.31748225827514515)"
105,"(0.3164368783534923, 0.31472762252859965)","(0.33050509195320665, 0.329560677221055)","(0.3141381253153268, 0.3069551955818314)","(0.3133377664566228, 0.31133508472870725)"
106,"(0.3737459399238331, 0.37171175329322415)","(0.2806265850383338, 0.2786732060355738)","(0.36644234813642207, 0.36294207814680923)","(0.37464168874338755, 0.37343682319761906)"
107,"(0.40810709045320404, 0.3965185682781037)","(0.42830403530848504, 0.4264898655714159)","(0.40810709045320404, 0.387545273983796)","(0.30830189123089546, 0.3032593315371067)"
108,"(0.3920720672128025, 0.3864195525634134)","(0.35580999511280886, 0.3551928118443076)","(0.3836929554499915, 0.3798197950148323)","(0.39091948077172745, 0.3895044711556964)"
109,"(0.3963548974429172, 0.3791059968566298)","(0.4337897013426597, 0.43182832001750904)","(0.3963548974429172, 0.36465454879898096)","(0.3743914818704964, 0.3686220815097826)"
110,"(0.34889215946445196, 0.3473976030195147)","(0.2957249594117102, 0.2941509002285192)","(0.34320277740862193, 0.3413584697813973)","(0.34862222886733707, 0.3468675798731894)"
111,"(0.3315005424912948, 0.33064461473605955)","(0.3262110413827928, 0.3258160898910337)","(0.3220195663991764, 0.3196769689850991)","(0.3167072019235013, 0.3148256556860325)"
112,"(0.39553654164395424, 0.3935965401667766)","(0.3518529634002212, 0.35046750216084566)","(0.3810962509922897, 0.37890442303974237)","(0.3901944050775352, 0.3897106295210091)"
113,"(0.3400988572137774, 0.33529372121443024)","(0.3573354717504471, 0.3562567602618055)","(0.3400988572137774, 0.3280248616429323)","(0.282565196789345, 0.2810861141846835)"
114,"(0.40246389982519226, 0.3988872104132194)","(0.31196772610120327, 0.31127225859908103)","(0.39700521679168344, 0.39418654368202)","(0.4036876352159591, 0.4023722890130374)"
115,"(0.32860021748383883, 0.3222913960615207)","(0.2208417111004798, 0.21892972057130944)","(0.3261933260986696, 0.31937139404129355)","(0.3317931922961771, 0.33084266929758754)"
116,"(0.41471703877630084, 0.4096477132246127)","(0.32996479661414, 0.32654078590427205)","(0.3999142515551536, 0.39269557084895257)","(0.41136623518448434, 0.41031495562977965)"
117,"(0.3859007652412142, 0.38369307562060406)","(0.3149493748534936, 0.3127977188083051)","(0.3727093036334794, 0.3690349317455843)","(0.3821148866817696, 0.3783265091153506)"
118,"(0.4750423833230135, 0.4727607049930257)","(0.32435911438514564, 0.3226153984696437)","(0.4690043323863077, 0.46681540737819105)","(0.4732098176015962, 0.4721631720156671)"
119,"(0.3508153159708586, 0.3471609578857988)","(0.3155843952028883, 0.3145754340011018)","(0.3388579887137608, 0.33619472801448)","(0.3088805391048107, 0.3080479591768033)"
120,"(0.33652342606649843, 0.3352238896676084)","(0.28727677097167614, 0.28590095654694947)","(0.3309004408923335, 0.3286739136846313)","(0.3419372230426593, 0.34170124884774655)"
121,"(0.34171806701926666, 0.3389087086909207)","(0.3365553672644659, 0.3361097861661718)","(0.33730204472357395, 0.3340565946334315)","(0.3156403765538759, 0.31442205339675156)"
122,"(0.43685746392356506, 0.4326989661748354)","(0.45061660763884226, 0.4478041598303075)","(0.42833662510122805, 0.4218271579868673)","(0.4168482514623012, 0.40726830793081675)"
