,Row,Col,Sym,Diag
148,"(0.3368722204442737, 0.3146744474939679)","(0.29615777219833384, 0.2913057559004668)","(0.3176476887847963, 0.2995821878622784)","(0.3394593745909682, 0.3295266952237209)"
149,"(0.2996288137687987, 0.29513792989445153)","(0.3174858975350009, 0.31570134387963567)","(0.2996288137687987, 0.29104440111924057)","(0.2797716000304695, 0.27917408344311034)"
150,"(0.39452121027901, 0.3914484076303799)","(0.3359365515799727, 0.3351662539173067)","(0.38983542637426394, 0.38715415462640146)","(0.35132687065568446, 0.35069386153850135)"
151,"(0.34154475395147676, 0.34007022601353354)","(0.34406575692420593, 0.34276700448077013)","(0.33354990848150134, 0.3316118607764905)","(0.3438300805639014, 0.3426886786957297)"
152,"(0.43573516289898384, 0.4340401193785717)","(0.38588326540060114, 0.3846262212582331)","(0.43084220779534665, 0.42779878767004753)","(0.4339709670906319, 0.43270593872394975)"
153,"(0.39351869068598233, 0.38703998221285285)","(0.3526143448058723, 0.35182593714108146)","(0.38555815758195, 0.3797439447942761)","(0.3958908617288245, 0.3937778703592915)"
154,"(0.3818297354653929, 0.3804634079872683)","(0.32129984277340384, 0.3194730742844021)","(0.37021236569449756, 0.3688733081964395)","(0.38224890609027407, 0.3812658043655112)"
155,"(0.4298789997556629, 0.41992484556779297)","(0.3630235609271245, 0.36160298686602166)","(0.40998881385588093, 0.40121069053221026)","(0.36836599932799585, 0.36709417741572337)"
156,"(0.3258882881950347, 0.3219712244202396)","(0.2993841899299575, 0.29825232802644375)","(0.3222268440938625, 0.31942598829386926)","(0.30031681194516213, 0.29942649072280914)"
157,"(0.33787483034164834, 0.33566319473303796)","(0.2362982594587325, 0.2351576576942671)","(0.3253143057463691, 0.3218735386247705)","(0.3281405438958537, 0.3274017680617494)"
