,Row,Col,Sym,Diag
126,"(0.42884239337159336, 0.42509225952223495)","(0.368157046711331, 0.36702519055242966)","(0.4176221588206598, 0.41402057004416615)","(0.35493785902871244, 0.3362419528658058)"
127,"(0.35464340933881633, 0.3447093677541919)","(0.26866688538917816, 0.2667394348759421)","(0.3469476988820408, 0.3329224257890051)","(0.3487081054388761, 0.3448696200895091)"
128,"(0.3991547207047428, 0.39700274350562426)","(0.29042630815472126, 0.28935641279074364)","(0.3955261664072891, 0.39082615602950754)","(0.40645051955049083, 0.40491507862805565)"
129,"(0.33188070501201306, 0.3282071227231197)","(0.32606617472338084, 0.32560727918190124)","(0.3202149690264582, 0.3179322925076875)","(0.3455571101635647, 0.34336075636372376)"
130,"(0.43562343966277317, 0.4331720599361405)","(0.30111373798817764, 0.30020694635898404)","(0.4251218912225455, 0.42269472667092634)","(0.39778517789096857, 0.3825248454026761)"
131,"(0.38040678622659707, 0.36787101232135544)","(0.4167632106294825, 0.41155126433031597)","(0.38040678622659707, 0.3575673493346725)","(0.36938134033319525, 0.36831727906424)"
132,"(0.4502521135674541, 0.44456501282339456)","(0.35699940861723467, 0.356355016141525)","(0.4427615521476581, 0.43663185397114634)","(0.4115966333644252, 0.4107442521118807)"
133,"(0.49864469066596073, 0.4915616931419372)","(0.38356760244586396, 0.3809694434450128)","(0.4880395255461901, 0.47965747038064743)","(0.32843391716277837, 0.3096660748548632)"
134,"(0.3993016850059752, 0.39741220506163)","(0.28913588372298527, 0.28825592243847964)","(0.3947493468488852, 0.3920063954142673)","(0.3611289680179989, 0.35558464357691233)"
135,"(0.30378078378492757, 0.3013629972414055)","(0.3021411215160462, 0.301279200866276)","(0.29894269852635713, 0.2955766993852257)","(0.3008969291726934, 0.3004854284939326)"
136,"(0.33855666398210105, 0.334384325552491)","(0.3133002466765278, 0.3122271101124098)","(0.3336146837734867, 0.3302374746762051)","(0.32194491085761834, 0.32072874267489937)"
137,"(0.37912318194648076, 0.37607921943667455)","(0.33049632974409626, 0.3294209499751579)","(0.3761474189395142, 0.3724118352043837)","(0.3255309109559046, 0.31868686360919357)"
138,"(0.44957705251547764, 0.4453247904573847)","(0.30209748606251763, 0.3013085209868118)","(0.4410339183333327, 0.4369000099925483)","(0.3681724745465138, 0.3630194676742959)"
139,"(0.4060056557759829, 0.4011954317071408)","(0.3852505790640085, 0.3846316492056546)","(0.40159199023271763, 0.39528701726204607)","(0.38596430952242455, 0.3827947753892809)"
140,"(0.32843186942534774, 0.32297341501471544)","(0.32711857368480357, 0.3261121691126425)","(0.3217156084805426, 0.317202662002968)","(0.32143805041310847, 0.31879246440024384)"
141,"(0.4461346324982707, 0.4397947182454358)","(0.37960655039005686, 0.37810775555138154)","(0.4406722570593846, 0.43377935635697695)","(0.44668590150868315, 0.4449248488052849)"
142,"(0.42882360102439476, 0.42601883841998256)","(0.32747577621467994, 0.3253096156697858)","(0.4237532336898264, 0.42105945817541)","(0.4283561623940694, 0.4277529758444476)"
